"date","hits","keyword","geo","time","gprop","category"
2024-10-12,7,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-13,7,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-14,9,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-15,10,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-16,11,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-17,12,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-18,11,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-19,10,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-20,11,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-21,16,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-22,15,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-23,16,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-24,18,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-25,18,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-26,15,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-27,17,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-28,24,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-29,28,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-30,29,"Election","US","2024-08-01 2024-11-04","web",0
2024-10-31,30,"Election","US","2024-08-01 2024-11-04","web",0
2024-11-01,33,"Election","US","2024-08-01 2024-11-04","web",0
2024-11-02,33,"Election","US","2024-08-01 2024-11-04","web",0
2024-11-03,49,"Election","US","2024-08-01 2024-11-04","web",0
2024-11-04,100,"Election","US","2024-08-01 2024-11-04","web",0
